t,loudness
0.0,-70.0
1.0,-35.02989078823312
2.0,-18.047927612726976
3.0,-17.899698757919364
4.0,-20.826467555361138
5.0,-28.785314204557096
6.0,-20.049630934368626
7.0,-21.017604364181782
8.0,-25.779452544296976
9.0,-30.378388952396865
10.0,-28.960292457364236
11.0,-19.126274024087206
12.0,-14.944904360742829
13.0,-19.2873211047491
14.0,-22.297917750602295
15.0,-19.5208433923596
16.0,-28.21409981239698
17.0,-30.493496301496947
18.0,-18.84645587319454
19.0,-16.51341675426214
20.0,-14.47907505802821
21.0,-16.90932463930783
22.0,-20.594993037977936
23.0,-14.14845944255042
24.0,-17.648994617876077
25.0,-17.57880777696973
26.0,-26.155782502047387
27.0,-21.53074917425324
28.0,-16.114145221080935
29.0,-13.416092465278936
30.0,-23.396622091717965
31.0,-23.181133836316786
32.0,-15.92358350305194
33.0,-11.433817752463034
34.0,-13.373212922558368
35.0,-11.81749717683108
36.0,-16.311771288173556
37.0,-26.13530654259272
38.0,-20.466629360184257
39.0,-15.68048928975513
40.0,-15.921425800111889
41.0,-26.474460453565683
42.0,-22.969849544903337
43.0,-26.019338135114598
44.0,-29.357583879474404
45.0,-28.989822277973133
46.0,-29.386897003213587
47.0,-32.13404698034743
48.0,-14.06601427073841
49.0,-13.663551971822946
50.0,-18.058579328665292
51.0,-19.025377353914894
52.0,-15.887569921057889
53.0,-16.639647702484915
54.0,-18.391364820578143
55.0,-14.811912917293531
56.0,-20.23377812520725
57.0,-18.111033330388913
58.0,-15.912995397757816
59.0,-16.535737198386407
60.0,-15.9433857438748
61.0,-15.944372995929621
62.0,-16.441696398654166
63.0,-16.752473054208846
64.0,-14.70306696420971
65.0,-16.110461146034375
66.0,-15.379504688644563
67.0,-16.424790521222295
68.0,-15.093406843824823
69.0,-14.922070084098827
70.0,-15.884956658490227
71.0,-15.251875650994197
72.0,-15.493863965086854
73.0,-15.936397427975537
74.0,-14.89903917702781
75.0,-15.190806207674859
76.0,-14.978330543885304
77.0,-16.52119883243004
78.0,-11.704190731770245
79.0,-10.080351786648178
80.0,-12.19277004168951
81.0,-12.890800116405096
82.0,-14.335700718759044
83.0,-11.484106647604124
84.0,-11.19758777740198
85.0,-12.324125425921247
86.0,-12.428382298020873
87.0,-14.693768052907545
88.0,-11.320570703326737
89.0,-11.256441816308667
90.0,-13.809190144327838
91.0,-11.96489419805266
92.0,-14.799861533631782
93.0,-10.582467289396716
94.0,-11.57150592242536
95.0,-13.202277834972055
96.0,-12.399824494105804
97.0,-15.280862744367633
98.0,-10.80224723067901
99.0,-10.791245059343387
100.0,-11.845037102390648
101.0,-11.627217802721479
102.0,-13.76105493248477
103.0,-13.279647370081952
104.0,-9.92131020789136
105.0,-9.737244384395602
106.0,-9.976413542260058
107.0,-10.041980702103995
108.0,-12.359286956110342
109.0,-10.119033243786506
110.0,-9.455478266038995
111.0,-9.82490571331303
112.0,-9.42757610681196
113.0,-9.346801623450324
114.0,-10.267145754665615
115.0,-9.856456528631492
116.0,-9.85206313884384
117.0,-10.584506666335589
118.0,-9.504951816852524
119.0,-9.965248782503512
120.0,-11.642472251609103
121.0,-10.01895661321286
122.0,-12.669395285751609
123.0,-9.424366344287487
124.0,-10.954819192295556
125.0,-11.558773881786935
126.0,-10.198495976553753
127.0,-9.94839083348444
128.0,-13.432280192720617
129.0,-10.308855879729315
130.0,-12.942701733056776
131.0,-12.451390270513155
132.0,-10.96487889255435
133.0,-10.664813670058024
134.0,-11.136221862893988
135.0,-13.615577200459967
136.0,-11.183888279784162
137.0,-14.76782140011209
138.0,-14.943223576449022
139.0,-11.810211363962027
140.0,-12.303381138418516
141.0,-11.681991049383132
142.0,-11.762368827825354
143.0,-11.703043765038968
144.0,-12.363908932178227
145.0,-11.037871716992191
146.0,-11.933162311981679
147.0,-12.022463620662501
148.0,-12.795095701771908
149.0,-12.10291710597699
150.0,-10.392719685260069
151.0,-11.595001523301672
152.0,-14.635321820766364
153.0,-12.1380911828539
154.0,-12.55107846394259
155.0,-13.656279313724452
156.0,-15.13926937074145
157.0,-17.827715506426188
158.0,-23.458135813314673
159.0,-19.07452045372504
160.0,-20.048148945764943
161.0,-26.032618612933163
162.0,-22.514532982863503
163.0,-24.73209767965027
164.0,-17.247751013476257
165.0,-11.912023455360274
166.0,-12.401015816277772
167.0,-11.861124709017396
168.0,-11.508897163562974
169.0,-15.211476030943073
170.0,-11.592796962950535
171.0,-12.938568530005883
172.0,-13.884979977705482
173.0,-16.694242023658905
174.0,-13.076513160283872
175.0,-12.01608173224262
176.0,-12.970919665737565
177.0,-12.380399966260264
178.0,-12.259234127271885
179.0,-14.170449281817305
180.0,-11.91979300307902
181.0,-10.060122168196564
182.0,-10.204198486850304
183.0,-9.164312710992126
184.0,-10.01037696063157
185.0,-9.780585824047968
186.0,-10.852462624508698
187.0,-10.130697156014696
188.0,-10.801035796942413
189.0,-12.467557969379852
190.0,-9.739447981666444
191.0,-10.51289276190591
192.0,-10.056311215209469
193.0,-8.958915126293057
194.0,-9.308355922670541
195.0,-10.194470881383152
196.0,-12.201147436163595
197.0,-9.473936556800139
198.0,-10.51548905429302
199.0,-9.597382196063137
200.0,-9.96897601076618
201.0,-10.713299338768211
202.0,-10.206029311836316
203.0,-13.066851054329666
204.0,-9.46735468174636
205.0,-10.343621345336986
206.0,-10.134070906120122
207.0,-11.185045499399466
208.0,-12.273183670754285
209.0,-13.96802531842573
210.0,-10.290847289849186
211.0,-11.897070669588846
212.0,-12.695948702766104
213.0,-14.514845435726238
214.0,-11.221046778475003
215.0,-9.99081534061106
216.0,-12.727067482563484
217.0,-11.520307771837068
218.0,-13.097214126370009
219.0,-11.201739515637152
220.0,-10.447860197851455
221.0,-12.629898332394005
222.0,-11.768926000373298
223.0,-12.125974639891599
224.0,-11.997413104133978
225.0,-10.980879735807667
226.0,-13.705592717860098
227.0,-12.154108255161592
228.0,-10.722773165067746
229.0,-14.783434951561633
230.0,-9.507878419860303
231.0,-10.46499597647419
232.0,-12.140748191893994
233.0,-12.50811985031463
234.0,-11.023851946656778
235.0,-11.369683954124861
236.0,-13.513993507041329
237.0,-12.714624177138983
238.0,-12.486562064565765
239.0,-12.265281687709557
240.0,-10.88236246081444
241.0,-11.815615681574831
242.0,-13.692371726859937
243.0,-13.00062589107235
244.0,-11.684750309930752
245.0,-10.871750074892525
246.0,-13.33318279820931
247.0,-11.704349252373275
248.0,-12.673597141906361
249.0,-11.583576783787796
250.0,-10.594717903483152
251.0,-12.222589298084399
252.0,-10.703611315982164
253.0,-11.577025686042923
254.0,-15.30360376970065
255.0,-15.419259332356974
256.0,-15.637005680395921
257.0,-17.46830518226033
258.0,-19.13198808163271
259.0,-20.59755513602593
260.0,-21.068253805690787
261.0,-21.981452444960947
262.0,-24.72393246584896
263.0,-24.872008224818156
264.0,-25.948093841483182
265.0,-32.91078465311276
266.0,-40.393556830584316
267.0,-52.825341509416816
268.0,-66.69074899111328
